Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
A1BG,0.64,0.07,0.32,1.52,1.09,0.91,0.31,0.2,2.25,2.36,1.82,1.57,0.28,0.46,0.39,2.12,0.44,2.74,0.55,1.49
A1BG-AS1,3.21,0.14,0.14,9.24,5.12,17.3,3.6,7.39,17.05,21.97,19.47,9.85,9.16,11.93,14.78,29.96,2.18,26.58,3.19,16.4
A1CF,0.27,0.0,0.0,0.04,0.03,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.3,0.91,0.0,0.11,0.13,0.0,0.24,0.0,0.5,0.52,0.0,0.0,1.12,0.0,0.0,0.0,0.34,0.04,0.0,0.0
A2M-AS1,0.03,0.07,0.36,0.19,0.13,0.04,0.1,0.17,0.11,0.36,0.03,0.07,0.09,0.14,0.14,0.48,0.34,0.07,0.1,1.2
A2ML1,0.0,0.0,0.0,0.04,0.51,0.04,0.1,0.0,0.04,0.12,0.03,0.0,0.0,0.0,0.04,0.0,0.03,0.04,0.03,0.04
A2ML1-AS1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.07,0.07,0.22
A2ML1-AS2,2.7,2.46,0.18,3.92,1.7,0.33,2.69,0.03,0.11,3.16,0.13,0.0,0.12,0.0,0.0,0.0,1.21,0.15,0.0,0.11
A2MP1,0.14,0.07,0.0,0.08,0.0,0.0,0.07,0.0,0.04,0.24,0.0,0.03,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.04
A3GALT2,0.34,0.07,0.07,0.3,0.06,0.15,0.1,0.03,0.07,0.44,0.03,0.1,0.06,0.0,0.07,0.04,0.0,0.04,0.0,0.22
A4GALT,0.07,0.07,0.0,0.0,8.71,50.89,1.9,0.0,60.95,0.0,0.33,4.35,0.03,0.25,4.56,1.06,0.07,0.0,3.46,22.02
A4GNT,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
AAAS,69.81,136.15,77.15,52.56,56.58,41.75,72.23,49.41,66.78,54.0,42.77,37.45,34.47,42.66,31.74,56.19,70.17,49.87,35.71,65.1
AACS,13.5,15.72,6.82,17.84,12.84,0.91,18.94,24.09,14.12,7.55,13.04,13.03,7.42,10.58,14.03,14.62,5.61,17.1,10.46,38.27
AACSP1,10.8,22.25,5.63,0.0,0.13,0.0,0.0,0.0,0.39,0.48,3.01,0.17,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.15
