Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","CRO-AP2","906807","DLBC","blood","B_cell_lymphoma","-4.0467441031117239",".73419089677208293",".10000000000000001",".10688980835401887","-.97295664667385906","GDSC2"
"Camptothecin","1003","DB","906832","DLBC","blood","B_cell_lymphoma","-4.6208158876444125",".64424494495318263",".10000000000000001",".11959651829174683","-1.2851225287412642","GDSC2"
"Camptothecin","1003","DOHH-2","906842","DLBC","blood","B_cell_lymphoma","-5.626423239943227",".51878720256448219",".10000000000000001",".0797260976713942","-1.8319466622411618","GDSC2"
"Camptothecin","1003","HT","907063","DLBC","blood","B_cell_lymphoma","-1.7862757887653324",".88328368185901351",".10000000000000001",".076012359914025648",".25622950085257717","GDSC2"
"Camptothecin","1003","KARPAS-422","907274","DLBC","blood","B_cell_lymphoma","-2.9888241421281685",".82068787269599874",".10000000000000001",".11673027082683288","-.39768622462032283","GDSC2"
"Camptothecin","1003","MC116","907799","DLBC","blood","B_cell_lymphoma","-4.3509228215901388",".70044708205192407",".10000000000000001",".11477184934666912","-1.1383614279543792","GDSC2"
"Camptothecin","1003","TUR","909773","DLBC","blood","B_cell_lymphoma","-3.4027725354843663",".81806298680614098",".10000000000000001",".10701198230989999","-.62278101036669442","GDSC2"
"Camptothecin","1003","RL","910861","DLBC","blood","B_cell_lymphoma","-3.567849773379006",".77482024631682678",".10000000000000001",".094538414391958175","-.71254588466473923","GDSC2"
"Camptothecin","1003","BC-3","910918","DLBC","blood","B_cell_lymphoma","-3.1849825860020249",".85063682265725127",".10000000000000001",".082618016973879341","-.5043522815607423","GDSC2"
"Camptothecin","1003","BC-1","910919","DLBC","blood","B_cell_lymphoma","-3.564288664089907",".79124129433976753",".10000000000000001",".1037103972352241","-.71060944247698232","GDSC2"
"Camptothecin","1003","SCC-3","910930","DLBC","blood","B_cell_lymphoma","-5.1181042016363758",".58984428035017045",".10000000000000001",".15432555858519881","-1.55553547945871","GDSC2"
"Camptothecin","1003","A4-Fuk","910934","DLBC","blood","B_cell_lymphoma","-3.9980555135398732",".73051089694499494",".10000000000000001",".10427544866875371","-.94648100909712818","GDSC2"
"Camptothecin","1003","A3-KAW","910935","DLBC","blood","B_cell_lymphoma","-5.3089946327811575",".56315760757213562",".10000000000000001",".13917941328933001","-1.6593369228009318","GDSC2"
"Camptothecin","1003","CTB-1","949088","DLBC","blood","B_cell_lymphoma","-4.3597117106407524",".66215263082646647",".10000000000000001",".13343193471800702","-1.1431406060585787","GDSC2"
"Camptothecin","1003","Farage","1297449","DLBC","blood","B_cell_lymphoma","-4.6209728734055853",".65821863679274362",".10000000000000001",".17405877486878882","-1.2852078936728442","GDSC2"
"Camptothecin","1003","GRANTA-519","1303897","DLBC","blood","B_cell_lymphoma","-4.6047867309670742",".64188605707080093",".10000000000000001",".13415433036153362","-1.2764062741407161","GDSC2"
"Camptothecin","1003","JEKO-1","1327765","DLBC","blood","B_cell_lymphoma","-4.2247325319824061",".70678527763637788",".10000000000000001",".1147860892889309","-1.0697423037871714","GDSC2"
"Camptothecin","1003","JM1","1327768","DLBC","blood","B_cell_lymphoma","-5.0232976569399757",".60523667912949686",".10000000000000001",".15059782722371209","-1.5039820510403352","GDSC2"
"Camptothecin","1003","JSC-1","1327769","DLBC","blood","B_cell_lymphoma","-4.7215651031864763",".63966628674884674",".10000000000000001",".14085241667085302","-1.3399074329721683","GDSC2"
"Camptothecin","1003","KARPAS-1106P","1327773","DLBC","blood","B_cell_lymphoma","-4.3904543020626345",".68454428684229851",".10000000000000001",".11844410195359585","-1.159857658571553","GDSC2"
"Camptothecin","1003","NU-DUL-1","1330982","DLBC","blood","B_cell_lymphoma","-4.7943448467649876",".63397536386362341",".10000000000000001",".11641863016984746","-1.3794832377111519","GDSC2"
"Camptothecin","1003","OCI-LY-19","1330984","DLBC","blood","B_cell_lymphoma","-5.6058580682633607",".52092529203922611",".10000000000000001",".095150378626985999","-1.8207638361028959","GDSC2"
"Camptothecin","1003","RC-K8","1330995","DLBC","blood","B_cell_lymphoma","-3.4756726921133909",".76763610726760168",".10000000000000001",".10127581815346393","-.66242229271168251","GDSC2"
"Camptothecin","1003","SLVL","1331032","DLBC","blood","B_cell_lymphoma","-4.8810920871343093",".61317691190712997",".10000000000000001",".12944152816853705","-1.4266542179551052","GDSC2"
"Camptothecin","1003","SU-DHL-10","1331033","DLBC","blood","B_cell_lymphoma","-3.561816162873328",".8046706491547988",".10000000000000001",".15157261000854974","-.70926495813899237","GDSC2"
"Camptothecin","1003","SU-DHL-16","1331034","DLBC","blood","B_cell_lymphoma","-5.1552220543525227",".58617673743454712",".10000000000000001",".11287676969885801","-1.5757192396534669","GDSC2"
"Camptothecin","1003","SU-DHL-4","1331035","DLBC","blood","B_cell_lymphoma","-4.2216984559781388",".71316767023331162",".10000000000000001",".08814884124140962","-1.0680924491215174","GDSC2"
"Camptothecin","1003","SU-DHL-5","1331036","DLBC","blood","B_cell_lymphoma","-5.1532794557339345",".58704030330558055",".10000000000000001",".10160097660168331","-1.5746629030983301","GDSC2"
"Camptothecin","1003","SU-DHL-6","1331037","DLBC","blood","B_cell_lymphoma","-3.7698328181372824",".77583790574559819",".10000000000000001",".11495229778395745","-.82237921392504054","GDSC2"
"Camptothecin","1003","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma","-4.5943839921031788",".66580859718560892",".10000000000000001",".15679894987223542","-1.2707495248615153","GDSC2"
"Camptothecin","1003","TK","1331045","DLBC","blood","B_cell_lymphoma","-3.3985979008449729",".81375385723323812",".10000000000000001",".094459523281004376","-.62051094843432442","GDSC2"
"Camptothecin","1003","VAL","1331048","DLBC","blood","B_cell_lymphoma","-4.6357563715861101",".64489175032232571",".10000000000000001",".11211307991956343","-1.2932467903298572","GDSC2"
"Camptothecin","1003","WSU-DLCL2","1331050","DLBC","blood","B_cell_lymphoma","-4.0665479978519121",".73268292040832661",".10000000000000001",".10421900649943204","-.98372550944765547","GDSC2"
"Camptothecin","1003","OCI-LY7","1659819","DLBC","blood","B_cell_lymphoma","-4.6644512211670994",".65441014530054054",".10000000000000001",".11110341834530604","-1.3088503320324558","GDSC2"
