Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
A1BG,0.13,1.52,0.31,0.76,0.2,2.25,2.36,0.77,1.09,1.82,1.57,0.28,0.66,0.44,2.74,0.55,1.81
A1BG-AS1,0.03,9.24,3.6,6.65,7.39,17.05,21.97,3.52,15.66,19.47,9.85,9.16,6.79,2.18,26.58,3.19,13.96
A1CF,0.0,0.04,0.1,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.36,0.11,0.24,0.11,0.0,0.5,0.52,0.14,0.0,0.0,0.0,1.12,0.26,0.34,0.04,0.0,0.03
A2M-AS1,0.2,0.19,0.1,0.04,0.17,0.11,0.36,0.1,0.16,0.03,0.07,0.09,0.07,0.34,0.07,0.1,0.69
A2ML1,0.03,0.04,0.1,0.04,0.0,0.04,0.12,0.03,0.03,0.03,0.0,0.0,0.2,0.03,0.04,0.03,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.07,0.07,0.13
A2ML1-AS2,0.13,3.92,2.69,3.08,0.03,0.11,3.16,1.67,0.19,0.13,0.0,0.12,1.21,1.21,0.15,0.0,0.0
A2MP1,0.03,0.08,0.07,0.0,0.0,0.04,0.24,0.07,0.0,0.0,0.03,0.0,0.03,0.34,0.0,0.0,0.0
A3GALT2,0.07,0.3,0.1,0.08,0.03,0.07,0.44,0.0,0.06,0.03,0.1,0.06,0.0,0.0,0.04,0.0,0.0
A4GALT,0.0,0.0,1.9,7.45,0.0,60.95,0.0,0.03,48.62,0.33,4.35,0.03,28.2,0.07,0.0,3.46,30.72
A4GNT,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0
AAAS,64.48,52.56,72.23,101.46,49.41,66.78,54.0,43.77,56.87,42.77,37.45,34.47,64.66,70.17,49.87,35.71,42.99
AACS,25.44,17.84,18.94,17.48,24.09,14.12,7.55,18.66,5.43,13.04,13.03,7.42,22.13,5.61,17.1,10.46,23.51
AACSP1,37.23,0.0,0.0,0.57,0.0,0.39,0.48,0.03,0.06,3.01,0.17,0.43,0.03,0.0,0.0,0.0,0.0
AADAC,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.03,0.11,0.0,0.0,0.03,0.18,0.0,0.1,0.06,0.03,0.1,0.06,0.0,0.0,0.0,0.1,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
