model_id,sample_id,patient_id,parent_id,model_name,synonyms,tissue,cancer_type,cancer_type_ncit_id,tissue_status,sample_site,cancer_type_detail,model_type,growth_properties,model_treatment,sampling_day,sampling_month,sampling_year,doi,pmed,msi_status,ploidy_snp6,ploidy_wes,ploidy_wgs,mutational_burden,model_comments,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,HCMI,suppliers,supplier,cat_number,species,gender,ethnicity,age_at_sampling,family_history_of_cancer,prior_same_malignancy,prior_other_malignancy,smoking_status,alcohol_exposure_intensity,alcohol_consumption_per_week,history_diabetes,diabetes_treatment,colorectal_cancer_risk_factors,patient_history_of_gastrointestinal_disorder,gastrointestinal_disorder_diagnosed,prior_synchronous_colon_rectal_tumours,history_prior_colon_polyps,previous_current_barretts_oesophagus,reflux_disease_prior,reflux_disease_treatment,h_pylori_infection,history_clinical_chronic_pancreatitis,tumour_grade,tnm_integrated,tnm_t,tnm_n,tnm_m,clinical_staging,metastasis_at_diagnosis,metastatic_site_at_diagnosis,method_procurement,sample_treatment,sample_treatment_details,radiation_type,prior_therapy_outcome,tumour_regression_score,colon_polyps_present_at_time_of_tissue_collection,venous_invasion_present,venous_invasion_type,lymphatic_invasion_present,perineural_invasion_present,gastric_oesophageal_junction,barretts_goblet_cells_present,oesophageal_columnar_metaplasia,goblet_cells_oesophageal_columnar_mucosa,degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa,peripancreatic_lymph_nodes_tested_surgery,number_positive_peripancreatic_lymph_nodes,mlh1_expression_by_ihc,mlh1_promoter_methylation_status,msh2_expression_by_ihc,pms2_expression_by_ihc,msh6_expression_by_ihc,braf_mutation_identified,braf_expression_by_ihc,pik3ca_mutation_identified,pten_expression_by_ihc,pten_mutation_identified,kras_mutation_identified,mismatch_repair_status,preoperative_ce_alevel,crispr_ko_data
SIDM01774,SIDS01659,SIDP01578,,PK-59,,Pancreas,Pancreatic Carcinoma,C3850,Metastasis,Liver,Pancreatic Carcinoma,Cell Line,Adherent,Unknown,,,,,7622937,,,3.510751163,,24.79,,,,ACH-000205,PK59_PANCREAS,,,RIKEN:RCB1901,RIKEN,RCB1901,Homo Sapiens,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00192,SIDS00612,SIDP00541,,SNU-1033,,Large Intestine,Colorectal Carcinoma,C9383,Tumour,Rectum,Rectal Adenocarcinoma,Cell Line,Adherent,,10,3,1993,10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T,,,,2.780367206,,23.29,,,,ACH-000286,SNU1033_LARGE_INTESTINE,CVCL_5002,,KCLB:01033,KCLB,1033,Homo Sapiens,Female,East Asian,45,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01447,SIDS01466,SIDP01347,,SNU-466,,Central Nervous System,Glioblastoma,C3058,Tumour,Brain,Glioblastoma,Cell Line,Adherent,Unknown,,,,10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2,11776963,,,2.0541013,,20.58,,,,ACH-000289,SNU466_CENTRAL_NERVOUS_SYSTEM,CVCL_5064,,KCLB:00466,KCLB,466,Homo Sapiens,Male,Unknown,61,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01554,SIDS01363,SIDP01247,,IST-MES-2,,Lung,Mesothelioma,C45662,Unknown,Pleural Effusion,Pleural Epithelioid Mesothelioma,Cell Line,Adherent,Unknown,,,1989,10.1183/09031936.99.13352799,,,,1.851006551,,22.92,,,,ACH-000331,ISTMES2_PLEURA,CVCL_1312,,ICLC:HTL01007,ICLC,HTL01007,Homo Sapiens,Male,White,71,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01689,SIDS01631,SIDP01557,,MUTZ-5,,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,C8644,Tumour,Peripheral blood,B Acute Lymphoblastic Leukemia,Cell Line,Suspension,Unknown,,,1998,10.1038/sj.leu.2402212,,,,1.941110026,,28.76,,"MUTZ-6 and MUTZ-7 were derived independently, but from the same original peripheral blood cell sample as MUTZ-5. (PMID: 11516110)",,ACH-000492,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,DSMZ:ACC-490,DSMZ,ACC-490,Homo Sapiens,Male,Unknown,26,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01460,SIDS01493,SIDP01374,,TM-31,,Central Nervous System,Glioma,C60781,Tumour,Brain,Astrocytoma,Cell Line,Adherent,Unknown,,,,10.3171/jns.2001.94.2.0301,,,,2.885529004,,25.89,,,,ACH-000592,TM31_CENTRAL_NERVOUS_SYSTEM,CVCL_6735,,RIKEN:RCB1731,RIKEN,RCB1731,Homo Sapiens,Female,East Asian,42,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00497,SIDS00944,SIDP00844,,SNU-503,NCI-SNU-503,Large Intestine,Colorectal Carcinoma,C9383,Metastasis,Abdominal Wall,Rectal Adenocarcinoma,Cell Line,Adherent,,18,9,1980,10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T,,,,3.498490855,,41.66,,,,ACH-000683,SNU503_LARGE_INTESTINE,CVCL_5071,,KCLB:00503,KCLB,503,Homo Sapiens,Male,East Asian,52,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy;Radiotherapy,5-FU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01435,SIDS01478,SIDP01359,,SNU-878,,Liver,Hepatocellular Carcinoma,C3099,Tumour,Liver,Hepatocellular Carcinoma,Cell Line,Adherent,Unknown,,,,10.3748/wjg.v5.i4.289,11819450,,,2.792741406,,22.71,,,,ACH-000686,SNU878_LIVER,CVCL_5102,,KCLB:00878,KCLB,878,Homo Sapiens,Female,East Asian,54,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Other,Transcatheter Arterial Embolisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01587,SIDS01369,SIDP01253,,JMSU-1,,Bladder,Bladder Carcinoma,C4912,Metastasis,Ascites,Bladder Carcinoma,Cell Line,Adherent,Unknown,,,1988,10.1007/BF00389565,,,,3.40000528,,30.89,,,,ACH-000753,JMSU1_URINARY_TRACT,CVCL_2081,,DSMZ:ACC 505,DSMZ,ACC 505,Homo Sapiens,Male,East Asian,75,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01612,SIDS01333,SIDP01218,,HEC-265,,Endometrium,Endometrial Carcinoma,C7359,Tumour,Uterine Corpus,Endometrial Adenocarcinoma,Cell Line,Adherent,Unknown,,,,,,,,1.945613938,,174.87,,,,ACH-000946,HEC265_ENDOMETRIUM,CVCL_2928,,JCRB:JCRB1142,JCRB,JCRB1142,Homo Sapiens,Female,East Asian,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
